trial,epoch,learning_rate,batch_size,optimizer,loss,mIoU
0,0,0.00015514872422017005,1,SGD,1.4564650428336385,0.24420408805211385
0,1,0.00015514872422017005,1,SGD,1.1380980655808763,0.28360226353009543
0,2,0.00015514872422017005,1,SGD,1.0663760289807633,0.30678309256831804
0,3,0.00015514872422017005,1,SGD,1.0073370328205267,0.31336916223996214
0,4,0.00015514872422017005,1,SGD,0.9447172007139991,0.3309176172895564
1,0,0.00041908718891521177,1,SGD,1.2157094154597154,0.2854556485969159
1,1,0.00041908718891521177,1,SGD,0.9782777535667881,0.333911567048894
1,2,0.00041908718891521177,1,SGD,0.8547567330739078,0.3066172379338079
1,3,0.00041908718891521177,1,SGD,0.7286376564147976,0.34582140933308336
1,4,0.00041908718891521177,1,SGD,0.6043044939224695,0.33356219954788685
2,0,0.00027749072387736417,1,SGD,1.3209164477137134,0.27004187472992475
2,1,0.00027749072387736417,1,SGD,1.0387565879467038,0.2723772414939271
2,2,0.00027749072387736417,1,SGD,0.9096776340659515,0.2970260987099674
2,3,0.00027749072387736417,1,SGD,0.7939040324060974,0.34270114743875135
2,4,0.00027749072387736417,1,SGD,0.7069375616868887,0.3516348156829675
3,0,0.000330299671494059,1,Adam,1.0136237558918428,0.3594644807693031
3,1,0.000330299671494059,1,Adam,0.705601193799692,0.3246817170911365
3,2,0.000330299671494059,1,Adam,0.5831836300686156,0.23946345714231332
3,3,0.000330299671494059,1,Adam,0.5161738185063778,0.312188943301638
3,4,0.000330299671494059,1,Adam,0.47187342410939376,0.2854905885623561
4,0,1.2588814007524e-05,1,SGD,2.0865759305887983,0.05933761169926988
4,1,1.2588814007524e-05,1,SGD,1.651635565477259,0.062088731843978166
4,2,1.2588814007524e-05,1,SGD,1.4975645238140463,0.06708613654236413
4,3,1.2588814007524e-05,1,SGD,1.4104362532754258,0.07900256040609545
4,4,1.2588814007524e-05,1,SGD,1.34972400822029,0.09767859482102924
5,0,0.00021693156876566208,1,SGD,1.3079093034704663,0.27703629117045137
5,1,0.00021693156876566208,1,SGD,1.0890002347606276,0.29599537182185387
5,2,0.00021693156876566208,1,SGD,1.0008546849229345,0.3106172054343753
5,3,0.00021693156876566208,1,SGD,0.9200795274086064,0.32040353764262464
5,4,0.00021693156876566208,1,SGD,0.8288023914845345,0.33727271437644957
6,0,0.00016705452293532902,1,Adam,1.083138378722445,0.35373261796931427
6,1,0.00016705452293532902,1,Adam,0.6975050007492614,0.3610970742586586
6,2,0.00016705452293532902,1,Adam,0.5790996832676413,0.36420795432395403
6,3,0.00016705452293532902,1,Adam,0.5218864106750406,0.37053622912201617
6,4,0.00016705452293532902,1,Adam,0.47010764224925256,0.37035311140947874
8,0,0.0001384492940061904,1,Adam,1.071731233369933,0.3966854500522216
8,1,0.0001384492940061904,1,Adam,0.7006856746430216,0.39467367781533136
8,2,0.0001384492940061904,1,Adam,0.6038897055810298,0.43700504634115434
8,3,0.0001384492940061904,1,Adam,0.5158811810880797,0.44843997373349137
8,4,0.0001384492940061904,1,Adam,0.4850748705745362,0.4183805965963337
